imdb_title_id,show_id,release_year,type,minutely,description,duration,minute_duration,rating,cast,seasonly,month_added,title,original_title,total_votes,weighted_average_vote,director,listed_in,season_duration,country,year_added,date_added
tt6949882,s5590,2017,Movie,1,"As her own wedding looms on the horizon, a marriage counselor strives to save her future in-laws' crumbling relationship.",127 min,127,TV-PG,"Harsh Chhaya, Prachi Shah, Bharat Chawda, Deeksha Joshi, Aarjav Trivedi, Prashant Barot, Harsha Bhavsar",0,March,Shubh Aarambh,Shubh Aarambh,101,6.9,Amit Barot,"Dramas, International Movies, Romantic Movies",0,India,2018,2018-03-01 00:00:00
tt4688446,s5591,2017,Movie,1,An American woman on a revenge mission travels to India and befriends two journalists seeking justice for violent crimes against women.,115 min,115,TV-14,"Lauren Spartano, Niveditha, Amrutha Karagada, Shashank Purushotham, Sidhartha Maadhyamika, Ajay Raj, Sanchari Vijay, Veena Sundar",0,March,Shuddhi,Shuddhi,356,7.9,Adarsh Eshwarappa,"Dramas, International Movies, Thrillers",0,"India, United States",2018,2018-03-01 00:00:00
tt0440803,s5592,2004,Movie,1,"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice.",96 min,96,TV-MA,"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr",0,September,Shutter,Shutter,40129,7.1,"Banjong Pisanthanakun, Parkpoom Wongpoom","Horror Movies, International Movies",0,Thailand,2018,2018-09-05 00:00:00
tt8669070,s5593,2018,Movie,1,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.",86 min,86,TV-PG,"Rano Karno, Mandra Naih, Cornelia Agatha, Maudy Koesnaedi, Aminah Tjendrakasih, Suty Karno, Salman Alfarizi, Adam Jagwani",0,May,Si Doel the Movie,Si Doel the Movie,370,7.1,Rano Karno,"Dramas, International Movies",0,Indonesia,2020,2020-05-07 00:00:00
tt10290062,s5594,2019,Movie,1,"As Sarah and her child look to settle in Jakarta, Zaenab searches for answers and gets caught between defending her marriage to Doel or letting it go.",95 min,95,TV-G,"Maudy Koesnaedi, Rano Karno, Cornelia Agatha, Mandra Naih, Aminah Tjendrakasih, Suty Karno, Adam Jagwani",0,May,Si Doel the Movie 2,Si Doel the Movie 2,148,7.0,Rano Karno,"Dramas, International Movies",0,Indonesia,2020,2020-05-07 00:00:00
tt5375434,s5597,2017,Movie,1,"When officials are slow to investigate a mysterious disappearance, a teen girl searches the dark woods on the outskirts of town for the boy she loves.",119 min,119,TV-MA,"Julia Jedlikowska, Gaetano Fernandez, Corinne Musallari, Lorenzo Curcio, Andrea Falzone, Federico Finocchiaro, Vincenzo Amato, Sabine Timoteo",0,July,Sicilian Ghost Story,Sicilian Ghost Story,1951,6.4,"Fabio Grassadonia, Antonio Piazza","Dramas, International Movies, Thrillers",0,"Italy, France, Switzerland",2019,2019-07-06 00:00:00
tt3949626,s5602,2014,Movie,1,A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.,141 min,141,TV-14,"Vikram Prabhu, Sathyaraj, Monal Gajjar, Sathish, Erode Mahesh, Gaurav Narayanan",0,November,Sigaram Thodu,Sigaram Thodu,401,6.2,Gaurav Narayanan,"Dramas, International Movies, Thrillers",0,India,2018,2018-11-01 00:00:00
tt5867226,s5605,2018,Movie,1,"When a drug lord kidnaps his girlfriend’s daughter, a retired assassin leaves his newly peaceful life to go on a ruthless rampage to rescue the child.",88 min,88,TV-MA,"Johnny Messner, Danny Trejo, Tito Ortiz, Chuck Liddell, Robert LaSardo, Nikki Leigh, Kai Scarlett Williams, Marlene Marquez",0,December,Silencer,Silencer,929,3.9,Timothy Woodward Jr.,"Action & Adventure, Independent Movies",0,United States,2018,2018-12-03 00:00:00
tt9614988,s5609,2019,Movie,1,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",133 min,133,TV-14,"Nivedhithaa Sathish, Leela Samson, Samuthirakani, Sunaina, Manikandan",0,January,Sillu Karuppatti,Sillu Karuppatti,1104,8.2,Halitha Shameem,"Comedies, Dramas, Independent Movies",0,India,2020,2020-01-26 00:00:00
tt1790834,s5615,2012,Movie,1,"Young and heartbroken, a New Yorker travels to Paris to escape his romantic woes but is soon drawn into another all-consuming attraction.",105 min,105,TV-MA,"Brady Corbet, Mati Diop, Constance Rousseau, Lila Salet, Solo, Michaël Abiteboul, Nicolas Ronchi, Étienne Rotha Moeng",0,August,Simon Killer,Simon Killer,4112,6.3,Antonio Campos,"Dramas, Independent Movies, Thrillers",0,"United States, France",2020,2020-08-13 00:00:00
tt0401792,s5617,2019,Movie,1,A busy couple tries to give their love life a boost by taking an impromptu weekend trip only to find their relationship tested in unexpected ways.,101 min,101,TV-14,"Yvonne Nelson, Kunle Remi, Adjetey Anang, Oscar Provencal, Michelle McKinney Hammond, Rosaline Meurer, Kweku Elliot, Regina Van Helvert, Alhaji Fadika, Isaac Akwesi Awonor",0,August,Sin City,Sin City,733158,8.0,Pascal Amanfo,"International Movies, Thrillers",0,USA,2020,2020-08-05 00:00:00
tt0039829,s5625,1960,Movie,1,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",158 min,158,TV-PG,"Shammi Kapoor, Padmini, Maria Menado, Shashikala, Agha, K.N. Singh, Madan Puri, Helen",0,October,Singapore,Singapore,450,6.5,Shakti Samanta,"Comedies, Dramas, International Movies",0,"India, Malaysia",2017,2017-10-15 00:00:00
tt2437954,s5627,2013,Movie,1,"As the result of a TV journalist's curiosity, the amazing saga of an honorable government tax collector's past comes to light.",143 min,143,TV-14,"Sunny Deol, Urvashi Rautela, Prakash Raj, Amrita Rao, Anjali Abrol, Johnny Lever, Sanjay Mishra, Yashpal Sharma, Manoj Pahwa, Raj Premi",0,July,Singh Saab the Great,Singh Saab the Great,2134,5.7,Anil Sharma,"Action & Adventure, Dramas, International Movies",0,India,2017,2017-07-15 00:00:00
tt1948150,s5628,2011,Movie,1,A police inspector kills himself after a powerful gangster frames him for corruption – but soon the thug faces the full force of cop Bajirao Singham.,142 min,142,TV-14,"Ajay Devgn, Kajal Aggarwal, Prakash Raj, Sonali Kulkarni, Sachin Khedekar, Sudhanshu Pandey, Anant Jog",0,November,Singham,Singham,13927,6.8,Rohit Shetty,"Action & Adventure, Dramas, International Movies",0,India,2020,2020-11-19 00:00:00
tt5169582,s5629,2015,Movie,1,"Unemployed and immature, a somewhat pathetic bachelor sets his sights on finding a date for the wedding of his younger, more successful brother.",127 min,127,TV-PG,"Raditya Dika, Annisa Rawles, Chandra Liow, Pandji Pragiwaksono, Babe Cabita, Elvira Devinamira, Tinna Harahap, Pevita Pearce, Rinna Hassim, Dede Yusuf, Dewi Hughes",0,September,Single,Single,628,6.8,Raditya Dika,"Comedies, International Movies, Romantic Movies",0,Indonesia,2018,2018-09-28 00:00:00
tt7312940,s5633,2017,Movie,1,"Nearly a century after artificial intelligence tried to eradicate people from Earth, two survivors search for a human enclave rumored to still exist.",92 min,92,PG-13,"Julian Schaffner, John Cusack, Jeannine Wacker, Carmen Argenziano, Eileen Grubba, Pavlo Bubryak",0,June,Singularity,Singularity,12724,3.8,Robert Kouba,"Action & Adventure, Dramas, Sci-Fi & Fantasy",0,"Switzerland, United States",2018,2018-06-01 00:00:00
tt2752772,s5634,2015,Movie,1,"A single mother and her twin sons move into a rural house, unaware of its history of being inhabited by an evil spirit that preys upon young children.",97 min,97,R,"Shannyn Sossamon, John Beasley, James Ransone, Tate Ellington, Robert Daniel Sloan, Dartanian Sloan, Lucas Jade Zumann, Lea Coco",0,October,Sinister 2,Sinister 2,46909,5.3,Ciarán Foy,Horror Movies,0,"United States, United Kingdom",2019,2019-10-16 00:00:00
tt4667854,s5637,2016,Movie,1,A groom-to-be and his pals celebrate with a debauched night out that ends with a supernatural assault by a stripper who is not what she appears to be.,83 min,83,TV-MA,"Chase Williamson, Hannah Fierman, Justin Welborn, Hayes Mercure, Michael Aaron Milligan, Brittany S. Hall, Randy McDowell, Lindsey Garrett, William Mark McCullough, Patrick Wood",0,January,Siren,Siren,5719,5.3,Gregg Bishop,Horror Movies,0,United States,2020,2020-01-01 00:00:00
tt3912040,s5640,2015,Movie,1,"After the death of their beloved mother, three foster sisters find their bond tested by old grudges, career tensions and a startling revelation.",95 min,95,R,"Drew Sidora, Eva Marcille, Amber Rose, Marcus T. Paulk, Erica Ash, Essence Atkins, Amin Joseph, Rolonda Watts, Brooklyn McLinn, Don Hale Jr., Duane Martin, Anne-Marie Johnson",0,February,Sister Code,Sister Code,361,4.6,Corey Grant,"Comedies, Dramas, Romantic Movies",0,United States,2016,2016-02-14 00:00:00
tt2590214,s5642,2012,Movie,1,"Two half siblings separated by family conflict cross paths as adults at a fashion agency – but one of them has a vendetta, unbeknownst to the other.",105 min,105,TV-14,"Ai-Ai de las Alas, Vice Ganda, Kris Aquino, Xyriel Manabat, Daniel Padilla, Kathryn Bernardo, Tirso Cruz III, Deejay Durano, Gloria Diaz, Jeffrey Quizon",0,March,Sisterakas,Sisterakas,247,5.3,Wenn V. Deramas,"Comedies, International Movies",0,Philippines,2019,2019-03-07 00:00:00
tt6043142,s5646,2019,Movie,1,"On a quest to find beauty in all complexions, actress Beverly Naya travels to her home country of Nigeria and explores colorism's impact on society.",76 min,76,TV-MA,Beverly Naya,0,June,Skin,Skin,11337,7.0,Daniel Effiong,"Documentaries, International Movies",0,Nigeria,2020,2020-06-28 00:00:00
